,age,income,savings_rate,debt_ratio,purchase_power,purchasing_power,purchase_class
1163,42,51278.06,0.29,0.22,30550.91,28.94,1
1164,35,42206.06,0.18,0.46,19954.41,21.53,0
1165,28,37724.58,0.26,0.36,14377.82,17.63,0
1166,48,60978.43,0.14,0.44,28625.07,27.59,1
1167,41,42738.58,0.08,0.23,34989.2,32.04,1
1168,50,49651.37,0.22,0.4,20747.85,22.08,0
1169,35,51154.07,0.05,0.32,36429.48,33.05,1
1170,35,44093.22,0.17,0.4,23540.86,24.04,0
1171,32,36211.0,0.1,0.25,26669.51,26.22,0
1172,27,55265.81,0.21,0.46,17321.93,19.69,0
1173,58,57071.92,0.29,0.5,4293.51,10.58,0
1174,20,53694.02,0.17,0.23,22214.28,23.11,0
1175,43,49507.57,0.25,0.25,29707.59,28.35,1
1176,57,71542.51,0.18,0.43,22413.9,23.25,0
1177,27,85828.36,0.17,0.45,31124.99,29.34,1
1178,40,66144.51,0.28,0.45,22894.3,23.58,0
1179,22,34580.43,0.27,0.44,2352.22,9.22,0
1180,44,65059.38,0.25,0.3,34499.42,31.7,1
1181,47,53996.74,0.12,0.3,34745.73,31.87,1
1182,52,50516.03,0.19,0.23,29362.18,28.11,1
1183,41,74713.8,0.11,0.18,58777.73,48.67,1
1184,55,56911.43,0.16,0.45,19003.58,20.86,0
1185,29,78512.35,0.17,0.15,54257.4,45.51,1
1186,24,39908.23,0.26,0.57,2228.86,9.14,0
1187,36,54872.11,0.27,0.51,16545.48,19.15,0
1188,39,53815.56,0.15,0.53,22471.16,23.29,0
1189,54,46495.1,0.05,0.55,16158.08,18.87,0
1190,59,70810.24,0.27,0.3,21741.83,22.78,0
1191,56,119244.13,0.09,0.52,41061.21,36.28,1
1192,52,55560.73,0.21,0.18,34055.42,31.39,1
1193,35,50097.95,0.06,0.11,45992.69,39.73,1
1194,55,49399.01,0.15,0.49,14456.49,17.68,0
1195,43,53754.86,0.3,0.14,35659.46,32.51,1
1196,56,97651.37,0.08,0.59,27608.05,26.88,0
1197,30,44934.95,0.16,0.44,19694.74,21.35,0
1198,41,54359.12,0.13,0.48,26880.06,26.37,0
1199,40,47597.67,0.28,0.22,29156.82,27.96,1
1200,39,66282.64,0.27,0.44,24846.85,24.95,0
1201,45,61762.38,0.11,0.12,51825.02,43.81,1
1202,49,48816.64,0.07,0.52,22039.07,22.99,0
1203,24,34930.64,0.21,0.18,16631.45,19.21,0
1204,45,98262.38,0.13,0.45,45486.49,39.38,1
1205,58,56865.2,0.22,0.21,25301.77,25.27,0
1206,52,62524.36,0.06,0.13,50448.56,42.85,1
1207,30,55899.71,0.08,0.34,33661.09,31.11,1
1208,25,78631.56,0.22,0.18,43300.8,37.85,1
1209,28,39261.76,0.1,0.46,16927.2,19.41,0
1210,35,53442.86,0.26,0.22,32071.51,30.0,1
1211,44,60247.49,0.06,0.27,44890.61,38.96,1
1212,39,43640.01,0.1,0.38,27737.4,26.97,0
1213,46,51424.8,0.3,0.24,27623.39,26.89,0
1214,20,60203.94,0.16,0.29,23048.76,23.69,0
1215,19,51330.0,0.23,0.51,1784.75,8.83,0
1216,54,78107.36,0.1,0.19,53735.61,45.15,1
1217,44,54885.31,0.2,0.14,40783.57,36.09,1
1218,47,56231.17,0.23,0.26,31932.33,29.9,1
1219,39,43211.62,0.13,0.31,29826.18,28.43,1
1220,29,71330.25,0.26,0.37,27263.42,26.64,0
1221,58,78849.68,0.2,0.29,33098.81,30.72,1
1222,29,75205.04,0.15,0.49,27678.03,26.93,0
1223,54,97584.48,0.19,0.12,65497.93,53.37,1
1224,57,64544.07,0.19,0.32,25752.29,25.58,0
1225,58,92637.82,0.09,0.29,50047.73,42.57,1
1226,53,57410.75,0.15,0.42,23274.07,23.85,0
1227,52,42850.85,0.14,0.58,11900.79,15.9,0
1228,42,79001.07,0.15,0.36,44394.08,38.61,1
1229,40,43530.42,0.24,0.59,12604.1,16.39,0
1230,23,47121.16,0.17,0.25,21418.01,22.55,0
1231,51,80268.81,0.29,0.12,48704.06,41.63,1
1232,54,65122.47,0.12,0.18,42923.26,37.59,1
1233,38,126330.3,0.15,0.3,74853.65,59.91,1
1234,37,41075.65,0.25,0.26,25461.69,25.38,0
1235,53,59098.18,0.19,0.15,38031.13,34.17,1
1236,35,59249.77,0.19,0.32,33975.86,31.33,1
1237,52,45848.21,0.06,0.27,30368.63,28.81,1
1238,27,36967.11,0.15,0.16,24328.46,24.59,0
1239,44,52128.85,0.12,0.25,37780.77,33.99,1
1240,20,26001.52,0.3,0.54,-6063.77,3.34,0
1241,27,48847.7,0.13,0.25,29236.29,28.02,1
1242,27,42450.87,0.27,0.46,10265.68,14.75,0
1243,58,61663.15,0.22,0.41,15911.53,18.7,0
1244,35,70794.43,0.14,0.31,43757.7,38.17,1
1245,19,47485.88,0.19,0.22,16289.63,18.97,0
1246,43,56918.59,0.26,0.28,31143.31,29.35,1
1247,58,61064.67,0.27,0.4,13140.79,16.76,0
1248,43,83506.33,0.09,0.28,58169.27,48.25,1
1249,57,64992.75,0.13,0.21,36976.83,33.43,1
1250,53,107565.45,0.13,0.16,74962.69,59.99,1
1251,21,60416.92,0.06,0.54,15456.28,18.38,0
1252,55,100902.28,0.2,0.32,45115.49,39.12,1
1253,48,40499.12,0.26,0.41,15978.19,18.75,0
1254,56,59706.89,0.15,0.35,25892.99,25.68,0
1255,52,56313.12,0.24,0.54,12662.22,16.43,0
1256,30,52363.53,0.21,0.37,23748.09,24.18,0
1257,37,50143.95,0.14,0.34,30932.17,29.2,1
1258,55,65726.8,0.09,0.56,19647.9,21.31,0
1259,35,40652.1,0.23,0.46,17356.39,19.71,0
1260,28,58679.82,0.26,0.16,33805.71,31.21,1
1261,30,44370.21,0.22,0.19,27575.15,26.86,0
1262,34,51364.93,0.05,0.49,27334.37,26.69,0
1263,42,69987.87,0.1,0.52,31947.04,29.91,1
1264,37,61585.26,0.07,0.37,39712.38,35.34,1
1265,26,70426.1,0.19,0.38,28009.08,27.16,1
1266,49,50341.87,0.24,0.42,19682.38,21.34,0
1267,39,60194.2,0.08,0.32,41698.96,36.73,1
1268,35,76211.41,0.26,0.44,27591.79,26.87,0
1269,41,68268.0,0.19,0.15,50240.1,42.7,1
1270,55,66282.67,0.22,0.58,9702.76,14.36,0
1271,34,80978.31,0.29,0.48,22885.63,23.58,0
1272,24,40358.84,0.07,0.42,16007.91,18.77,0
1273,26,40887.27,0.28,0.26,16834.19,19.35,0
1274,43,72904.92,0.08,0.18,58916.41,48.77,1
1275,36,57484.81,0.15,0.3,36473.33,33.08,1
1276,43,85805.79,0.26,0.43,31444.21,29.56,1
1277,30,60483.29,0.28,0.42,20054.0,21.6,0
1278,33,49060.88,0.18,0.29,29648.63,28.31,1
1279,44,68419.62,0.2,0.41,31864.94,29.86,1
1280,59,44145.03,0.23,0.51,3036.91,9.7,0
1281,44,81391.02,0.26,0.11,56138.03,46.83,1
1282,50,46348.69,0.08,0.33,29219.35,28.01,1
1283,28,77737.52,0.25,0.48,20557.18,21.95,0
1284,34,63541.04,0.17,0.37,33214.06,30.8,1
1285,25,45145.59,0.16,0.43,15314.3,18.28,0
1286,35,73291.64,0.16,0.36,40095.44,35.61,1
1287,41,71143.83,0.18,0.6,21404.23,22.54,0
1288,44,91840.69,0.29,0.13,58742.16,48.65,1
1289,39,90232.03,0.19,0.35,47582.93,40.84,1
1290,40,67761.97,0.29,0.15,43907.54,38.27,1
1291,25,36697.48,0.1,0.18,23326.48,23.89,0
1292,32,49052.63,0.23,0.29,26550.0,26.14,0
1293,33,56223.85,0.25,0.18,35435.0,32.35,1
1294,25,69674.02,0.22,0.58,10720.07,15.07,0
1295,27,44183.16,0.2,0.57,8886.69,13.79,0
1296,26,43821.33,0.19,0.27,21563.82,22.65,0
1297,41,108976.29,0.27,0.42,39994.44,35.54,1
1298,47,61063.51,0.26,0.37,26663.96,26.22,0
1299,36,51327.29,0.08,0.51,26110.93,25.83,0
1300,49,76785.36,0.26,0.41,27212.16,26.6,0
1301,48,61585.99,0.15,0.1,49037.7,41.86,1
1302,57,41883.95,0.11,0.48,11227.68,15.43,0
1303,53,81375.68,0.27,0.47,20057.85,21.6,0
1304,36,50102.92,0.16,0.35,29084.14,27.91,1
1305,57,57986.07,0.25,0.55,5467.43,11.4,0
1306,35,57948.27,0.12,0.55,23764.24,24.19,0
1307,32,60112.42,0.05,0.36,38321.17,34.37,1
1308,49,41673.0,0.17,0.4,19889.28,21.48,0
1309,42,57687.52,0.08,0.6,24236.99,24.52,0
1310,53,83596.56,0.24,0.25,41512.24,36.6,1
1311,52,88102.98,0.12,0.26,54427.75,45.63,1
1312,21,28853.17,0.16,0.19,10027.89,14.59,0
1313,55,76981.77,0.07,0.55,25928.96,25.71,0
1314,58,46606.44,0.12,0.47,11654.72,15.73,0
1315,44,57483.07,0.25,0.15,39480.2,35.18,1
1316,41,57592.84,0.09,0.59,23915.57,24.3,0
1317,57,59029.35,0.21,0.47,13137.4,16.76,0
1318,33,77320.52,0.28,0.53,18883.15,20.78,0
1319,22,47031.25,0.22,0.12,23410.22,23.94,0
1320,47,60746.14,0.25,0.35,27353.89,26.7,0
1321,40,80985.37,0.08,0.45,43924.81,38.29,1
1322,43,52447.97,0.11,0.37,32042.61,29.98,1
1323,31,54164.91,0.27,0.43,17935.47,20.12,0
1324,36,79573.19,0.23,0.51,25851.51,25.65,0
1325,51,70742.83,0.21,0.29,36461.54,33.07,1
1326,34,51777.07,0.22,0.52,17363.29,19.72,0
1327,20,22683.66,0.15,0.18,4630.79,10.82,0
1328,53,65526.71,0.06,0.24,44789.99,38.89,1
1329,52,44107.77,0.25,0.12,27628.15,26.89,0
1330,48,59334.04,0.22,0.28,32756.13,30.48,1
1331,31,80061.98,0.17,0.29,45632.87,39.48,1
1332,31,66038.33,0.27,0.5,17091.71,19.53,0
1333,36,40101.7,0.13,0.43,22565.9,23.35,0
1334,50,65076.81,0.12,0.32,38031.68,34.17,1
1335,50,57287.7,0.27,0.43,18996.59,20.86,0
1336,53,45841.43,0.25,0.13,27463.99,26.78,0
1337,57,62923.52,0.18,0.19,33811.71,31.22,1
1338,47,55915.52,0.08,0.41,31798.58,29.81,1
1339,47,55990.34,0.1,0.42,30333.46,28.78,1
1340,34,60152.24,0.21,0.49,22311.96,23.18,0
1341,28,43521.5,0.15,0.3,23813.9,24.23,0
1342,48,63948.35,0.26,0.46,20868.91,22.17,0
1343,43,54722.78,0.29,0.44,20041.69,21.59,0
1344,57,50038.6,0.25,0.58,2550.32,9.36,0
1345,38,80717.19,0.14,0.21,57845.07,48.02,1
1346,23,66825.12,0.25,0.38,19305.13,21.07,0
1347,19,19398.13,0.14,0.4,-2950.31,5.52,0
1348,48,76384.89,0.09,0.6,26732.21,26.27,0
1349,21,72065.31,0.06,0.2,44736.13,38.85,1
1350,32,92654.42,0.15,0.36,48618.95,41.57,1
1351,48,71590.29,0.28,0.27,35251.44,32.22,1
1352,22,30029.47,0.11,0.36,8695.73,13.66,0
1353,36,71104.16,0.1,0.22,53269.9,44.82,1
1354,55,48124.3,0.29,0.12,24678.96,24.83,0
1355,43,57775.32,0.06,0.39,37024.02,33.46,1
1356,19,43590.07,0.25,0.27,9243.08,14.04,0
1357,33,47105.55,0.13,0.19,35643.12,32.5,1
1358,27,37030.64,0.06,0.26,23980.38,24.34,0
1359,33,65383.55,0.28,0.12,42413.21,37.23,1
1360,42,109978.1,0.08,0.58,42880.2,37.56,1
1361,22,69219.87,0.19,0.39,21941.23,22.92,0
1362,30,67292.16,0.12,0.51,26933.73,26.41,0
1363,55,78432.39,0.07,0.31,45540.88,39.42,1
1364,55,70545.65,0.06,0.55,23885.41,24.28,0
1365,24,53788.55,0.08,0.34,26811.24,26.32,0
1366,57,74776.15,0.07,0.39,34847.69,31.94,1
1367,42,47178.82,0.24,0.35,24729.52,24.87,0
1368,29,56281.04,0.17,0.47,21294.65,22.47,0
1369,31,54109.69,0.14,0.38,28399.87,27.43,1
1370,52,62157.35,0.15,0.24,37885.36,34.06,1
1371,43,56283.96,0.28,0.17,35914.18,32.69,1
1372,25,56732.2,0.28,0.4,14950.9,18.03,0
1373,22,32338.18,0.23,0.34,6480.29,12.11,0
1374,26,41845.6,0.27,0.15,22065.11,23.0,0
1375,38,52329.83,0.13,0.3,35253.97,32.22,1
1376,47,79267.46,0.15,0.36,42961.57,37.61,1
1377,28,51616.73,0.2,0.51,14252.43,17.54,0
1378,52,54580.3,0.21,0.14,35653.11,32.5,1
1379,44,57497.15,0.17,0.27,36883.49,33.36,1
1380,59,55391.07,0.15,0.51,9963.7,14.54,0
1381,21,79395.44,0.3,0.42,13356.05,16.92,0
1382,24,31819.07,0.26,0.24,11308.11,15.48,0
1383,23,56759.5,0.16,0.52,12302.77,16.18,0
1384,23,52580.13,0.23,0.35,16160.79,18.88,0
1385,41,51180.52,0.12,0.35,33030.19,30.67,1
1386,27,83795.11,0.08,0.59,26898.49,26.38,0
1387,53,69879.29,0.14,0.57,18923.68,20.81,0
1388,38,54013.41,0.15,0.28,36253.82,32.92,1
1389,53,41706.03,0.05,0.17,31305.9,29.46,1
1390,36,63440.45,0.25,0.26,35635.88,32.49,1
1391,35,58298.46,0.14,0.12,47852.75,41.03,1
1392,42,50036.26,0.2,0.11,40021.88,35.56,1
1393,21,28368.72,0.07,0.3,9170.93,13.99,0
1394,50,78577.69,0.09,0.57,27899.66,27.08,1
1395,53,41134.77,0.27,0.54,6783.2,12.32,0
1396,56,63422.03,0.2,0.36,23359.12,23.91,0
1397,31,52576.19,0.29,0.38,19434.0,21.16,0
1398,43,71319.1,0.3,0.1,47876.49,41.05,1
1399,27,46252.42,0.14,0.21,28852.95,27.75,1
1400,22,47539.15,0.12,0.11,29107.7,27.93,1
1401,32,46803.66,0.26,0.48,15016.54,18.08,0
1402,55,58231.39,0.3,0.17,27425.54,26.75,0
1403,52,69449.82,0.21,0.53,18028.26,20.18,0
1404,29,55463.94,0.25,0.42,18871.81,20.77,0
1405,59,61781.1,0.25,0.21,24554.51,24.74,0
1406,21,29457.1,0.14,0.18,11285.71,15.47,0
1407,46,54867.15,0.19,0.41,25866.96,25.66,0
1408,47,54952.66,0.26,0.55,14072.64,17.42,0
1409,27,46490.26,0.22,0.46,13770.78,17.21,0
1410,21,70837.92,0.06,0.27,38470.09,34.47,1
1411,43,57630.26,0.13,0.39,32388.04,30.22,1
1412,52,47506.9,0.09,0.26,31066.48,29.3,1
1413,30,63808.08,0.11,0.6,20366.56,21.82,0
1414,27,80053.82,0.28,0.47,18872.7,20.77,0
1415,33,42903.15,0.06,0.41,26403.56,26.04,0
1416,58,108143.91,0.1,0.31,56032.66,46.75,1
1417,43,69733.28,0.13,0.41,37658.19,33.91,1
1418,23,65231.6,0.2,0.27,28551.14,27.54,1
1419,29,86385.86,0.18,0.11,61468.73,50.55,1
1420,52,80205.94,0.1,0.3,47747.4,40.96,1
1421,42,60782.47,0.09,0.57,26249.34,25.93,0
1422,33,83124.6,0.11,0.41,43215.87,37.79,1
1423,56,62362.53,0.18,0.14,38005.28,34.15,1
1424,26,71388.5,0.12,0.54,21962.02,22.93,0
1425,23,69700.39,0.29,0.23,27468.33,26.78,0
1426,44,49795.03,0.17,0.22,35598.02,32.47,1
1427,36,74717.61,0.06,0.25,56208.86,46.87,1
1428,24,43342.63,0.23,0.39,11802.01,15.83,0
1429,55,61182.93,0.13,0.37,26822.66,26.33,0
1430,31,57351.78,0.21,0.35,27578.95,26.86,0
1431,46,64111.11,0.12,0.46,31174.08,29.37,1
1432,23,79556.56,0.19,0.26,37822.32,34.02,1
1433,31,40086.64,0.24,0.49,12957.08,16.64,0
1434,35,41200.04,0.28,0.19,26405.95,26.04,0
1435,58,37274.66,0.12,0.49,7461.19,12.79,0
1436,50,83594.59,0.13,0.43,37952.85,34.11,1
1437,47,52751.42,0.17,0.44,24345.17,24.6,0
1438,21,42993.28,0.28,0.34,7511.38,12.83,0
1439,58,54640.69,0.28,0.43,8641.88,13.62,0
1440,52,49892.6,0.07,0.14,39123.57,34.93,1
1441,58,72701.69,0.08,0.53,21260.92,22.44,0
1442,45,60878.92,0.17,0.13,47154.26,40.54,1
1443,31,51879.77,0.08,0.17,41119.52,36.33,1
1444,51,65215.08,0.14,0.39,31701.93,29.74,1
1445,24,59381.87,0.09,0.47,21643.48,22.71,0
1446,42,50708.0,0.21,0.14,38256.6,34.32,1
1447,37,77200.38,0.29,0.56,16738.76,19.28,0
1448,34,90966.89,0.3,0.59,14323.45,17.59,0
1449,58,40655.62,0.14,0.4,11095.56,15.34,0
1450,46,67340.15,0.2,0.34,35078.92,32.1,1
1451,51,57057.34,0.26,0.47,15735.8,18.58,0
1452,59,68220.21,0.08,0.26,36080.75,32.8,1
1453,31,41296.1,0.22,0.35,20201.53,21.7,0
1454,43,101369.48,0.15,0.56,34402.55,31.63,1
1455,54,42688.74,0.1,0.58,11410.59,15.56,0
1456,45,59239.54,0.15,0.56,21275.87,22.45,0
1457,56,65650.68,0.07,0.23,41250.29,36.42,1
1458,25,38632.32,0.22,0.22,18437.1,20.47,0
1459,23,33789.51,0.11,0.25,15743.47,18.58,0
1460,49,65791.69,0.13,0.32,38844.93,34.74,1
1461,41,63393.24,0.08,0.26,47367.38,40.69,1
1462,28,51888.3,0.27,0.29,23187.48,23.79,0
1463,50,78344.79,0.17,0.41,34085.42,31.41,1
1464,48,56925.68,0.19,0.48,21452.26,22.58,0
1465,57,62643.71,0.19,0.47,15742.71,18.58,0
1466,49,55281.11,0.15,0.51,21007.82,22.26,0
1467,36,49046.04,0.1,0.12,43588.38,38.05,1
1468,54,55615.0,0.24,0.12,33363.49,30.9,1
1469,20,32229.48,0.08,0.49,3283.16,9.87,0
1470,32,50167.16,0.08,0.37,30767.8,29.09,1
1471,31,79685.1,0.23,0.39,32866.69,30.56,1
1472,47,58953.99,0.1,0.13,48909.44,41.77,1
1473,30,45540.81,0.13,0.23,30924.29,29.2,1
1474,57,57742.97,0.17,0.42,17688.25,19.94,0
1475,20,40674.27,0.16,0.53,2334.88,9.21,0
1476,50,48046.51,0.23,0.56,11670.66,15.74,0
1477,31,51062.7,0.21,0.35,24964.5,25.03,0
1478,45,57982.93,0.21,0.37,28469.32,27.48,1
1479,59,52791.42,0.23,0.52,4901.96,11.01,0
1480,35,72446.97,0.12,0.37,41057.35,36.28,1
1481,58,58535.49,0.13,0.36,22626.68,23.4,0
1482,49,88279.92,0.16,0.55,27791.41,27.01,1
1483,52,60739.08,0.13,0.49,22839.12,23.55,0
1484,42,106488.55,0.3,0.55,21072.19,22.31,0
1485,53,54010.92,0.25,0.21,27658.32,26.91,0
1486,24,36183.48,0.09,0.36,15296.58,18.27,0
1487,37,70041.37,0.05,0.52,35052.44,32.08,1
1488,48,92554.43,0.06,0.16,75380.79,60.28,1
1489,25,32237.69,0.11,0.5,9366.07,14.13,0
1490,28,48908.03,0.08,0.19,35458.9,32.37,1
1491,59,47226.74,0.18,0.5,5979.55,11.76,0
1492,50,64110.35,0.26,0.41,22576.74,23.36,0
1493,52,61072.75,0.23,0.2,34497.61,31.7,1
1494,46,92291.58,0.1,0.34,55606.87,46.45,1
1495,33,55682.75,0.15,0.44,26387.45,26.03,0
1496,48,92881.25,0.18,0.42,40876.84,36.16,1
1497,55,54490.75,0.25,0.31,20113.78,21.64,0
1498,47,80774.09,0.26,0.55,18910.89,20.8,0
1499,40,65560.41,0.28,0.36,29262.58,28.04,1
1500,22,85016.36,0.18,0.35,32742.35,30.47,1
1501,38,44837.06,0.22,0.13,34382.82,31.62,1
1502,50,48243.48,0.08,0.56,18952.62,20.83,0
1503,54,105859.57,0.19,0.19,63351.21,51.87,1
1504,22,33222.84,0.11,0.36,10216.4,14.72,0
1505,45,54016.0,0.16,0.5,22689.11,23.44,0
1506,35,48059.88,0.21,0.21,32303.17,30.16,1
1507,30,78119.39,0.11,0.36,42650.73,37.4,1
1508,40,47489.51,0.06,0.22,39422.43,35.14,1
1509,35,59327.46,0.05,0.48,32196.5,30.09,1
1510,28,47966.6,0.06,0.38,26862.85,26.36,0
1511,19,58002.31,0.05,0.53,12548.09,16.35,0
1512,40,54266.45,0.08,0.55,25951.18,25.72,0
1513,44,69849.12,0.11,0.42,37504.33,33.8,1
1514,36,46051.96,0.11,0.46,24580.12,24.76,0
1515,32,121562.89,0.3,0.37,43080.6,37.7,1
1516,47,59151.49,0.13,0.29,38006.52,34.15,1
1517,30,54364.33,0.08,0.42,28462.35,27.48,1
1518,54,99346.45,0.19,0.55,23609.71,24.08,0
1519,53,52518.7,0.26,0.31,21010.15,22.27,0
1520,30,94319.79,0.22,0.26,50886.8,43.15,1
1521,25,41851.45,0.12,0.29,20873.49,22.17,0
1522,47,74920.05,0.19,0.32,40281.1,35.74,1
1523,29,45382.82,0.23,0.14,29467.82,28.18,1
1524,51,46248.72,0.23,0.35,20196.56,21.7,0
1525,24,53113.74,0.22,0.35,18626.28,20.6,0
1526,33,68919.68,0.27,0.39,26913.97,26.39,0
1527,50,46983.79,0.27,0.28,22695.46,23.44,0
1528,29,48667.85,0.19,0.41,20180.33,21.69,0
1529,41,87511.87,0.16,0.54,31978.19,29.93,1
1530,44,73519.24,0.21,0.58,20549.37,21.94,0
1531,52,55396.07,0.25,0.39,19500.27,21.21,0
1532,52,52964.49,0.05,0.12,43662.72,38.1,1
1533,47,113406.68,0.3,0.58,16777.25,19.31,0
1534,22,26817.31,0.1,0.45,4886.37,10.99,0
1535,35,58081.62,0.17,0.27,37318.59,33.67,1
1536,53,44357.88,0.27,0.17,23627.96,24.1,0
1537,31,83965.19,0.11,0.17,62871.66,51.53,1
1538,59,55221.77,0.17,0.18,26941.09,26.41,0
1539,57,60177.04,0.08,0.12,41949.12,36.91,1
1540,33,149469.22,0.15,0.55,48322.25,41.36,1
1541,47,54721.09,0.09,0.37,32825.15,30.53,1
1542,47,105656.06,0.14,0.45,46857.14,40.34,1
1543,29,47585.59,0.14,0.51,17085.56,19.52,0
1544,50,58436.55,0.3,0.5,13451.7,16.98,0
1545,20,123409.09,0.3,0.54,9542.31,14.25,0
1546,32,53974.18,0.08,0.58,21441.3,22.57,0
1547,38,45611.99,0.23,0.32,25890.2,25.68,0
1548,40,66492.13,0.06,0.58,29518.14,28.21,1
1549,29,50502.71,0.06,0.46,25169.68,25.17,0
1550,45,68985.01,0.08,0.14,59152.0,48.93,1
1551,21,38899.12,0.29,0.44,1813.41,8.85,0
1552,35,121422.73,0.29,0.44,37254.45,33.62,1
1553,46,72627.16,0.1,0.55,29463.47,28.18,1
1554,47,49823.76,0.09,0.29,34769.24,31.89,1
1555,39,63390.95,0.11,0.39,36732.19,33.26,1
1556,34,48032.57,0.18,0.11,38529.19,34.51,1
1557,55,55392.23,0.19,0.27,26614.46,26.18,0
1558,38,49656.12,0.11,0.13,43399.89,37.92,1
1559,24,103542.56,0.24,0.36,36822.11,33.32,1
1560,37,51347.17,0.13,0.51,23859.82,24.26,0
1561,23,57020.48,0.28,0.2,23605.55,24.08,0
1562,21,36290.03,0.21,0.36,6698.74,12.26,0
1563,19,23548.66,0.16,0.2,3248.93,9.85,0
1564,56,61380.59,0.25,0.16,31663.5,29.71,1
1565,33,64138.98,0.25,0.36,28545.51,27.53,1
1566,52,70841.36,0.12,0.14,52092.81,44.0,1
1567,53,37851.91,0.13,0.39,16834.4,19.35,0
1568,43,48441.48,0.28,0.12,34273.62,31.54,1
1569,42,81350.38,0.09,0.15,66708.42,54.22,1
1570,30,42838.94,0.06,0.37,25627.0,25.49,0
1571,36,62990.94,0.16,0.4,32702.69,30.44,1
1572,33,42929.29,0.25,0.11,30773.29,29.09,1
1573,34,71783.45,0.24,0.39,30751.1,29.08,1
1574,45,81043.41,0.28,0.52,20777.16,22.1,0
1575,26,62668.93,0.18,0.46,20238.71,21.73,0
1576,43,83439.92,0.08,0.17,68409.13,55.4,1
1577,35,95496.01,0.2,0.4,43505.39,37.99,1
1578,47,48953.92,0.24,0.44,19309.19,21.08,0
1579,26,39024.62,0.07,0.12,29263.17,28.04,1
1580,33,74750.23,0.09,0.53,31798.45,29.81,1
1581,45,86174.58,0.05,0.55,38671.3,34.61,1
1582,25,38763.75,0.2,0.53,7246.4,12.64,0
1583,21,31323.53,0.27,0.51,-1902.26,6.25,0
1584,47,54058.6,0.22,0.47,20353.0,21.81,0
1585,42,45444.46,0.3,0.42,18409.53,20.45,0
1586,21,26401.29,0.07,0.44,4455.57,10.69,0
1587,38,46628.17,0.28,0.5,15526.18,18.43,0
1588,33,53096.2,0.25,0.43,20531.09,21.93,0
1589,43,67094.32,0.13,0.26,45799.99,39.6,1
1590,48,69891.57,0.29,0.29,32213.67,30.1,1
1591,32,49442.82,0.12,0.55,19089.86,20.92,0
1592,25,40958.76,0.27,0.11,22125.56,23.05,0
1593,35,60944.08,0.27,0.45,21820.43,22.83,0
1594,38,44697.93,0.24,0.58,13760.09,17.2,0
1595,54,78660.86,0.19,0.45,25922.95,25.7,0
1596,27,78232.36,0.08,0.6,24071.49,24.41,0
1597,56,49909.89,0.18,0.44,14051.47,17.4,0
1598,40,56267.53,0.14,0.12,47290.74,40.64,1
1599,20,65573.55,0.25,0.51,5251.61,11.25,0
1600,42,60600.68,0.24,0.24,36695.55,33.23,1
1601,26,59591.09,0.28,0.32,21686.94,22.74,0
1602,29,51661.88,0.05,0.26,36286.11,32.95,1
1603,31,91592.4,0.25,0.23,49057.47,41.87,1
1604,35,67531.11,0.28,0.32,31345.56,29.49,1
1605,26,58760.82,0.25,0.29,25104.11,25.13,0
1606,39,71492.1,0.08,0.42,41044.32,36.27,1
1607,36,52237.88,0.07,0.51,26904.27,26.39,0
1608,48,56071.12,0.06,0.25,41964.85,36.92,1
1609,36,74147.27,0.21,0.21,48336.6,41.37,1
1610,49,64181.66,0.21,0.43,25381.31,25.32,0
1611,56,44476.99,0.3,0.44,7395.99,12.75,0
1612,50,109600.66,0.15,0.55,34410.32,31.63,1
1613,29,72475.52,0.13,0.11,55629.96,46.47,1
1614,43,63213.23,0.21,0.53,22143.73,23.06,0
1615,51,57476.03,0.26,0.36,22537.95,23.33,0
1616,56,61398.05,0.28,0.41,14252.87,17.54,0
1617,59,64426.14,0.25,0.15,30315.68,28.77,1
1618,26,29407.89,0.16,0.32,13561.15,17.06,0
1619,29,110804.93,0.21,0.21,64643.39,52.77,1
1620,40,51781.97,0.26,0.23,31767.96,29.79,1
1621,42,62409.01,0.17,0.35,35000.0,32.05,1
1622,59,55872.86,0.1,0.51,13060.61,16.71,0
1623,35,111764.92,0.09,0.47,53298.73,44.84,1
1624,30,52901.61,0.05,0.4,30950.89,29.22,1
1625,50,99179.74,0.23,0.37,41258.55,36.42,1
1626,33,64252.7,0.08,0.31,42652.08,37.4,1
1627,34,46423.65,0.11,0.59,18236.26,20.33,0
1628,40,63975.94,0.12,0.38,37031.81,33.47,1
1629,46,60970.57,0.19,0.23,39585.54,35.25,1
1630,38,48031.78,0.15,0.22,35919.69,32.69,1
1631,51,67443.8,0.22,0.41,25938.32,25.71,0
1632,28,52138.96,0.06,0.36,29364.59,28.11,1
1633,58,66235.8,0.08,0.1,46916.52,40.38,1
1634,50,64956.19,0.17,0.52,21700.98,22.75,0
1635,51,52854.76,0.13,0.45,22445.7,23.27,0
1636,20,53451.53,0.12,0.43,13665.22,17.13,0
1637,51,53153.69,0.07,0.13,43167.69,37.76,1
1638,51,37153.35,0.27,0.28,17141.35,19.56,0
1639,59,57377.39,0.22,0.57,3351.64,9.92,0
1640,31,47879.36,0.08,0.53,20901.11,22.19,0
1641,48,68922.16,0.07,0.24,50521.04,42.9,1
1642,51,114281.82,0.29,0.18,60950.87,50.19,1
1643,31,109417.29,0.22,0.32,51982.88,43.92,1
